ExtensibilityAPI_Version,2.0.8.0
TriggerTotalOccurrences,0
TriggerFullyConvertedOccurrences,0
TriggerTotalCharacters,0
TriggerTotalLinesOfCode,0
TriggerTotalParsingErrors,0
TriggerTotalConversionErrors,0
TriggerTotalWarnings,0
FunctionsWithUnsupportedLanguages,0
UnScopeCppFunctionsObjects,0
UnScopeCppFunctionsLoC,0
UnScopeCppProceduresObjects,0
UnScopeCppProceduresLoC,0
WarehouseName,UPDATE_DUMMY_WAREHOUSE
TargetLagValue,1 days
SessionMode,TERA
UseCollateForCaseSpecification,Off
